Machine Name,Welding Standard,Cylinder Area (mm²),Max OD (mm),Min OD (mm),Hydraulics,High Pressure Mode,Notes / Questions
WP250 LF,ISO 21307 SLP Low Pressure,1100,250,50,Yes,No,
WP250 HF,ISO 21307 LSP High Pressure,1100,250,50,Yes,Yes,
WP315 LF,ISO 21307 SLP Low Pressure,2003,315,90,Yes,No,
WP315 HF,ISO 21307 SHP High Pressure,2003,315,90,Yes,Yes,
WP355 HF,ISO 21307 SHP High Pressure,2003,355,110,Yes,Yes,
WP450 LF,ISO 21307 SLP Low Pressure,2238,450,200,Yes,No,
WP450 HF,ISO 21307 SLP High Pressure,2238,450,200,Yes,Yes,
WP630 LF,ISO 21307 SLP Low Pressure,2307,630,315,Yes,No,
WP800 LF Post 2008,ISO 21307 SLP Low Pressure,3416,800,450,Yes,No,
WP1000 LF,ISO 21307 SLP Low Pressure,4359,1000,500,Yes,No,
WP1000 LF Hydra,ISO 21307 SLP Low Pressure,4359,1000,500,Yes,No
WP1200 LF,ISO 21307 SLP Low Pressure,5066,1200,630,Yes,No,
WP1200 LF Hydra,ISO 21307 SLP Low Pressure,5066,1200,630,Yes,No,
WP1600 LF (68.7),ISO 21307 SLP Low Pressure,6870,1600,900,Yes,No,
WP1600 LF (95.4),ISO 21307 SLP Low Pressure,9540,1600,900,Yes,No,
WP1600 LF Trench,ISO 21307 SLP Low Pressure,9540,1600,900,Yes,No,
WP1600 LF Hydra,ISO 21307 SLP Low Pressure,9540,1600,900,Yes,No,
WP2000 LF Hydra,ISO 21307 LSP Low Pressure,10950,2000,40,Yes,No,
WP2500 LF Hydra,ISO 21307 SLP Low Pressure,16964,2500,40,Yes,No,
Custom,User defined,0,3000,16,Yes,No,User enters cylinder area manually

